Merkmal_ID;Merkmalbezeichnung;Datentyp;Klassifikationssystem_ID
AAA377f001;Mit Strickbund;logisch;pc-7.0
AAA718f001;Ozonbrüchigkeit;numerisch;pc-7.0
AAA717f001;Wasserdampfdurchlässigkeit;numerisch;pc-7.0
EAD486f001;Universalgröße;logisch;pc-7.0
AAB757f001;Max. Strahlungshitze;numerisch;pc-7.0
AAC081f001;Größe;numerisch;pc-7.0
AAA407f001;Stärke;numerisch;pc-7.0
AAB754f001;Anzahl der Kugelknöpfe;numerisch;pc-7.0
EAC427f001;Gesichtsschutzvisier schwenkbar;logisch;pc-7.0
AAA308f001;Verstellbar;logisch;pc-7.0
AAA445f001;Mit Kabelhalter;logisch;pc-7.0
AAA444f001;Lampenhalter;logisch;pc-7.0
AAA499f001;Mit Nackenteil;logisch;pc-7.0
EAC401f001;Dreilochhaube;logisch;pc-7.0
AAA526f001;Waldarbeiterset;alphanumerisch;pc-7.0
EAB575f001;Mit Klappschnalle;logisch;pc-7.0
AAA388f001;Waschbar bis;numerisch;pc-7.0
AAA442f001;MIt Nierenschutz;logisch;pc-7.0
EAC407f001;Einheitsgröße;logisch;pc-7.0
AAB148f001;Sohle rutschfest;logisch;pc-7.0
AAA504f001;DIN-Stempel;logisch;pc-7.0
AAB750f001;Schutzstufe;numerisch;pc-7.0
AAA506f001;Verspiegelt;logisch;pc-7.0
AAA503f001;Fesselschnalle;logisch;pc-7.0
AAA509f001;Kopfband verstellbar;logisch;pc-7.0
AAA511f001;Schildform;alphanumerisch;pc-7.0
AAA510f001;Mit Glas;logisch;pc-7.0
AAA465f001;Nackenband verstellbar;logisch;pc-7.0
AAB755f001;Warnkeile;logisch;pc-7.0
AAB756f001;Mit Schnittschutzeinlage;logisch;pc-7.0
EAC383f001;Helmfarbe;alphanumerisch;pc-7.0
EAE001f001;Enthält Mütze;logisch;pc-7.0
EAE002f001;Enthält Schal;logisch;pc-7.0
EAE003f001;Enthält Handschuhe;logisch;pc-7.0
EAD100f001;Enthält Sonstige;logisch;pc-7.0
EAD511f001;Wirkprinzip;alphanumerisch;pc-7.0
EAD006f001;Ansprechtemperatur;numerisch;pc-7.0
EAC464f001;Standalone;logisch;pc-7.0
EAD495f001;Vernetzbar über Kabel;logisch;pc-7.0
EAD494f001;Vernetzbar über Funk (standardmäßig);logisch;pc-7.0
EAD493f001;Vernetzbar über Funk (optional);logisch;pc-7.0
EAD236f001;Max. Anzahl vernetzbar;numerisch;pc-7.0
EAD413f001;Primärstromversorgung;alphanumerisch;pc-7.0
EAD323f001;Min. Versorgungsspannung;numerisch;pc-7.0
EAD282f001;Max. Versorgungsspannung;numerisch;pc-7.0
EAD448f001;Spannungsart der Versorgungsspannung;alphanumerisch;pc-7.0
EAD390f001;Mit Spannungsanzeige;logisch;pc-7.0
EAD333f001;Mit Backup-Batterie;logisch;pc-7.0
EAD398f001;Mitgelieferte Backup-Batterie;alphanumerisch;pc-7.0
EAD399f001;Mitgelieferte Backup-Batterie wiederaufladbar;logisch;pc-7.0
EAB179f001;Lautstärke;numerisch;pc-7.0
AAB478f001;Montageart;alphanumerisch;pc-7.0
AAB302f001;Mit Sockel;logisch;pc-7.0
EAD144f001;Geeignet für Kanalbefestigung;logisch;pc-7.0
EAD424f001;Rauchschalter;logisch;pc-7.0
EAD371f001;Mit Orientierungsbeleuchtung;logisch;pc-7.0
EAD030f001;Art des Test-/Pauseknopfes;alphanumerisch;pc-7.0
EAD196f001;Kabeleinführung;alphanumerisch;pc-7.0
EAA670f001;Schutzart (IP);alphanumerisch;pc-7.0
EAA587f001;Explosionsgeprüfte Ausführung;logisch;pc-7.0
EAD488f001;VdS anerkannt;logisch;pc-7.0
EAD166f001;Genehmigt von der NCP;logisch;pc-7.0
AAA944f001;Füllmenge;numerisch;pc-7.0
AAA942f001;Gefüllt;logisch;pc-7.0
AAA943f001;Spülflüssigkeit;alphanumerisch;pc-7.0
AAA678f001;Anzahl der Teile;numerisch;pc-7.0
AAA945f001;Behälter;alphanumerisch;pc-7.0
AAA927f001;Mit Wandhalterung;logisch;pc-7.0
AAA931f001;DIN 13168;logisch;pc-7.0
EAC400f001;DIN 13154;logisch;pc-7.0
AAA948f001;Inhalt nach DIN;alphanumerisch;pc-7.0
AAA752f001;Länge 1;numerisch;pc-7.0
AAA925f001;Verschluss;alphanumerisch;pc-7.0
AAA937f001;DIN 13024;logisch;pc-7.0
AAA938f001;Klappbar;alphanumerisch;pc-7.0
AAA939f001;Für Trage;alphanumerisch;pc-7.0
AAA940f001;Abschließbar;logisch;pc-7.0
AAA941f001;Mit Kippsicherung;logisch;pc-7.0
AAA950f001;EN 1869;logisch;pc-7.0
AAA949f001;DIN 14155;logisch;pc-7.0
AAA930f001;Elastisch;logisch;pc-7.0
AAA490f001;Aufnahmekapazität;numerisch;pc-7.0
AAA926f001;Aluminiumbedampft;logisch;pc-7.0
AAA934f001;Bauart nach § 31 ArbeitsstättVO;logisch;pc-7.0
AAA935f001;Wandklappliege;logisch;pc-7.0
AAA936f001;Verstellmöglichkeiten;alphanumerisch;pc-7.0
AAA946f001;DIN 58279B18;logisch;pc-7.0
AAA947f001;Kniegebogen;logisch;pc-7.0
AAA929f001;DIN 13152;logisch;pc-7.0
AAA951f001;Inhalt nach;alphanumerisch;pc-7.0
AAA933f001;Verwendungszweck;alphanumerisch;pc-7.0
AAA932f001;Wasserabweisend;logisch;pc-7.0
AAA928f001;Anzahl der Abschnitte;numerisch;pc-7.0
EAE004f001;Selbstklebend;logisch;pc-7.0
EAB942f001;Stromversorgung;alphanumerisch;pc-7.0
AAB950f001;Reichweite;numerisch;pc-7.0
EAF011f001;Länge Traverse;numerisch;pc-7.0
EAF012f001;Höhe Dibonkreuz;numerisch;pc-7.0
EAF013f001;Breite Dibonkreuz;numerisch;pc-7.0
AAA374f001;Kanten entschärft;logisch;pc-7.0
AAA373f001;Anzahl der Tragegriffe;numerisch;pc-7.0
EAF014f001;Min. Blinkfrequenz;numerisch;pc-7.0
EAF015f001;Max. Blinkfrequenz;numerisch;pc-7.0
EAF016f001;Dauerbeleuchtung;logisch;pc-7.0
EAF017f001;Füße schwenkbar;logisch;pc-7.0
EAF018f001;Mit Schilderklemmen;logisch;pc-7.0
EAF019f001;Mit Bakenleuchte;logisch;pc-7.0
EAB677f001;Aufdruck;alphanumerisch;pc-7.0
EAC450f001;Mit Reflektoren;logisch;pc-7.0
AAB197f001;Verschmutzungsart;alphanumerisch;pc-7.0
AAB191f001;Anzahl der Tücher;numerisch;pc-7.0
AAB192f001;Tuchlänge;numerisch;pc-7.0
AAB193f001;Tuchbreite;numerisch;pc-7.0
AAB194f001;Verpackungsart;alphanumerisch;pc-7.0
AAB196f001;Mit Konservierungsmittel;logisch;pc-7.0
AAB195f001;Parfümiert;logisch;pc-7.0
AAB198f001;Produktart;alphanumerisch;pc-7.0
AAB199f001;Silikonfrei;logisch;pc-7.0
AAA432f001;Hautschutz bei;alphanumerisch;pc-7.0
AAA431f001;Fetthaltig;logisch;pc-7.0
AAB200f001;Verschmutzungsgrad;alphanumerisch;pc-7.0
AAB201f001;Anwendungsweise;alphanumerisch;pc-7.0
AAB054f001;Gehäusematerial;alphanumerisch;pc-7.0
EAB668f001;Max. Hitzeschutz Dauerbelastung;numerisch;pc-7.0
EAB669f001;Max. Hitzeschutz kurzfristig;numerisch;pc-7.0
EAD440f001;Signalgeber;alphanumerisch;pc-7.0
AAB953f001;Mit Fernbedienung;logisch;pc-7.0
AAB954f001;Reichweite der Fernbedienung;numerisch;pc-7.0
EAD025f001;Anzahl der überwachten Lampenausgänge;numerisch;pc-7.0
AAA343f001;Gebinde;alphanumerisch;pc-7.0
EAB228f001;Art (Markierfarben);alphanumerisch;pc-7.0
EAE005f001;Für Nennspannung bis;numerisch;pc-7.0
AAA000f001;Werkstoff;alphanumerisch;pc-7.0
EAD099f001;Enthält Schutzbrille;logisch;pc-7.0
EAD095f001;Enthält Atemschutzmaske;logisch;pc-7.0
EAD098f001;Enthält Ohrenstöpsel;logisch;pc-7.0
EAC447f001;Mit Maske;logisch;pc-7.0
EAC444f001;Mit Gasfilter;logisch;pc-7.0
EAC449f001;Mit Partikelfilter;logisch;pc-7.0
AAC579f001;Filtersystem;alphanumerisch;pc-7.0
AAB210f001;Art des Gerätes;alphanumerisch;pc-7.0
AAB014f001;G26 pflichtig;logisch;pc-7.0
AAB017f001;Mit Anschlussmöglichkeit für Helme;logisch;pc-7.0
AAB018f001;Mit Anschlussmöglichkeit für Hauben;logisch;pc-7.0
AAB019f001;Mit Anschlussmöglichkeit für Visiere;logisch;pc-7.0
AAB020f001;Anschlussansteckmöglichkeit für Schweißerschutz;logisch;pc-7.0
AAB021f001;Mit Anschlussmöglichkeit für Masken;logisch;pc-7.0
AAB203f001;Steuerung des Luftvolumens;alphanumerisch;pc-7.0
AAB023f001;Warneinrichtung;alphanumerisch;pc-7.0
AAB204f001;Integrierter Schalldämpfer am Regler;logisch;pc-7.0
AAB205f001;Integrierter Filter am Regler;logisch;pc-7.0
AAB208f001;Mit Zusatzanschluss am Regler;logisch;pc-7.0
AAB207f001;Mit Zusatzanschluss für zweite Person;logisch;pc-7.0
AAB206f001;Mit Zusatzanschluss für Presslufthammer;logisch;pc-7.0
AAB209f001;Druckluftkühlung/-erwärmung;logisch;pc-7.0
AAA505f001;Schutzstufe;alphanumerisch;pc-7.0
AAA245f001;Anschluss;alphanumerisch;pc-7.0
AAB015f001;Schutz vor Partikeln;logisch;pc-7.0
AAB016f001;Schutz vor Gasen/Dämpfen;logisch;pc-7.0
AAB022f001;Mit Überwachung von Luftstrom und Batterie;logisch;pc-7.0
AAA532f001;Akkubeschaffenheit;alphanumerisch;pc-7.0
AAC934f001;Akkustandzeit;alphanumerisch;pc-7.0
AAB026f001;Explosionsgeschützt;logisch;pc-7.0
AAB027f001;Filteranschluss;alphanumerisch;pc-7.0
AAB031f001;Gesichtsgröße;alphanumerisch;pc-7.0
AAB052f001;Einweg/Mehrweg;alphanumerisch;pc-7.0
AAB053f001;Filterklasse (nur bei Einweg);alphanumerisch;pc-7.0
AAC929f001;Dolomitstaub-Prüfung D;logisch;pc-7.0
AAB008f001;Mit Ausatemventil;logisch;pc-7.0
AAB009f001;Verstellbare Bebänderung;logisch;pc-7.0
AAB010f001;Nasenbügel;alphanumerisch;pc-7.0
AAB011f001;Hygienisch einzeln verpackt;logisch;pc-7.0
AAB012f001;Zusätzliche Aktivkohleschicht;logisch;pc-7.0
AAA541f001;Form;alphanumerisch;pc-7.0
AAB013f001;Einspeicher-D-Test;logisch;pc-7.0
AAB043f001;Anschluss für 2.Lungenautomaten;logisch;pc-7.0
AAB039f001;Atemanschluss/Lungenautomat;alphanumerisch;pc-7.0
AAB041f001;Atemwiderstand;numerisch;pc-7.0
AAB037f001;Beckenpolsterung;logisch;pc-7.0
AAB048f001;Bescheinigung nach vfdb-Richtlinie 0802;logisch;pc-7.0
AAB045f001;Direktfülleinrichtung;logisch;pc-7.0
AAB035f001;Drehbarer, sich mitbewegender Leibgurt;logisch;pc-7.0
AAB051f001;Gewicht Grundgerät;numerisch;pc-7.0
AAB034f001;Höhenverstellbare Tragevorrichtung;logisch;pc-7.0
AAC930f001;Max. Luftlieferleistung des Druckminderers;numerisch;pc-7.0
AAB044f001;Lungenautomat frei drehbar;logisch;pc-7.0
AAB033f001;Material Tragevorrichtung;alphanumerisch;pc-7.0
AAB036f001;Mit Schulterpolsterung;logisch;pc-7.0
AAB042f001;Mit Sicherheitsventil;logisch;pc-7.0
AAB046f001;Signaleinrichtung;alphanumerisch;pc-7.0
AAB049f001;Steuerrad-Zulassung MED (Schifffahrt);logisch;pc-7.0
AAB047f001;Telemetrisches Überwachungs- und Kommunikationssystem;logisch;pc-7.0
AAB038f001;Universal-Flaschenspannband;logisch;pc-7.0
AAB029f001;Material Maske;alphanumerisch;pc-7.0
AAB030f001;Material Sichtscheibe;alphanumerisch;pc-7.0
AAB032f001;Sprechmembran;logisch;pc-7.0
EAC424f001;Gebotszeichen nach VBG 125;logisch;pc-7.0
AAA392f001;Frequenzbereich;alphanumerisch;pc-7.0
AAC932f001;Schalldämmung;numerisch;pc-7.0
AAD224f001;Schalldämmung (Hz);numerisch;pc-7.0
AAA395f001;SNR-Wert;numerisch;pc-7.0
AAA397f001;Mit Gelenk;logisch;pc-7.0
AAA398f001;Mit Teleskopauszügen;logisch;pc-7.0
AAA393f001;Schalldämmung in dB;numerisch;pc-7.0
AAA394f001;Schalldämmung in Hz;numerisch;pc-7.0
EAB098f001;Max. Füllmenge;numerisch;pc-7.0
AAC933f001;Kapsel faltbar;logisch;pc-7.0
AAC931f001;Mit UKW-Radio;logisch;pc-7.0
EAC039f001;Anzahl der Kanäle;numerisch;pc-7.0
EAE006f001;Min. Lichtstrom;numerisch;pc-7.0
EAE007f001;Max. Lichtstrom;numerisch;pc-7.0
EAE008f001;Art der Batterie;alphanumerisch;pc-7.0
EAE009f001;Anzahl der Batterien;numerisch;pc-7.0
EAE010f001;Batterien mitgeliefert;logisch;pc-7.0
EAA675f001;Leuchtmittel;alphanumerisch;pc-7.0
EAB969f001;Mit Leuchtmittel;logisch;pc-7.0
EAE011f001;Min. Lichtwinkel;numerisch;pc-7.0
EAE012f001;Max. Lichtwinkel;numerisch;pc-7.0
EAE013f001;Max. Brenndauer;numerisch;pc-7.0
AAA912f001;Gesamtgewicht;numerisch;pc-7.0
AAA910f001;Max. Abseilhöhe;numerisch;pc-7.0
AAA918f001;Max. Personenlast;numerisch;pc-7.0
AAB600f001;Hubhöhe;numerisch;pc-7.0
AAA920f001;Dreibockhalterung;logisch;pc-7.0
AAA916f001;Abseilgeschwindigkeit;numerisch;pc-7.0
AAA917f001;Gewicht (ohne Seil);numerisch;pc-7.0
AAA906f001;Kernmantelseildurchmesser;numerisch;pc-7.0
AAA921f001;Leiteradapter;logisch;pc-7.0
AAA863f001;Transportbehälter;alphanumerisch;pc-7.0
AAA901f001;Angeschraubte Umlenkrolle;logisch;pc-7.0
AAA911f001;Max. Empfohlene Hubhöhe ohne Winde;numerisch;pc-7.0
AAA909f001;Max. zulässige Personenlast;numerisch;pc-7.0
AAA907f001;Sicherungsseillänge;numerisch;pc-7.0
AAA857f001;Werkstoff Karabiner;alphanumerisch;pc-7.0
AAA903f001;Seilstoppgerät;logisch;pc-7.0
AAA902f001;Lose Umlenkrolle;logisch;pc-7.0
AAA913f001;Klapprolle;logisch;pc-7.0
AAA905f001;Kernmantelseillänge;numerisch;pc-7.0
AAA904f001;Haltegurt;logisch;pc-7.0
AAA900f001;Grundgerät;logisch;pc-7.0
AAA859f001;Mit Auffanggurt;logisch;pc-7.0
AAA915f001;Anschlagseil;logisch;pc-7.0
AAA914f001;Rettungssitzgurt;logisch;pc-7.0
AAA366f001;Höhensicherungsgerät;logisch;pc-7.0
AAA854f001;Material Auffanggerät;alphanumerisch;pc-7.0
AAA367f001;Seildurchmesser;numerisch;pc-7.0
AAA368f001;Seillänge;numerisch;pc-7.0
AAA853f001;Seilmaterial;alphanumerisch;pc-7.0
AAA369f001;Mit Sicherheitsweste;logisch;pc-7.0
AAA855f001;Verbindungsmittelart;alphanumerisch;pc-7.0
AAA858f001;Verschluss Karabiner;alphanumerisch;pc-7.0
AAA365f001;Führung beweglich;logisch;pc-7.0
AAA364f001;Falldämpfer;logisch;pc-7.0
AAA363f001;Abseilrettungsgerät;logisch;pc-7.0
AAA850f001;Ex-geschützt;logisch;pc-7.0
AAA844f001;Auffangöse, vorn;logisch;pc-7.0
AAA843f001;Auffangöse, hinten;logisch;pc-7.0
AAA847f001;Gurtbandbreite;numerisch;pc-7.0
AAA849f001;Gurtlänge;numerisch;pc-7.0
AAA845f001;Mit Halteöse;logisch;pc-7.0
AAA848f001;Leibumfang;numerisch;pc-7.0
AAA371f001;Mit Rückenstütze;logisch;pc-7.0
AAA846f001;Steigschutzöse;logisch;pc-7.0
AAA880f001;Verschluss Endverbindung, andere Seite;alphanumerisch;pc-7.0
AAA877f001;Verschluss Endverbindung, eine Seite;alphanumerisch;pc-7.0
AAA879f001;Werkstoff Endverbindung, andere Seite;alphanumerisch;pc-7.0
AAA876f001;Werkstoff Endverbindung, eine Seite;alphanumerisch;pc-7.0
AAA878f001;Endverbindung (andere Seite);alphanumerisch;pc-7.0
AAA875f001;Endverbindung (eine Seite);alphanumerisch;pc-7.0
AAA888f001;Länge (zusammengelegt);numerisch;pc-7.0
AAA887f001;Breite (zusammengelegt);numerisch;pc-7.0
AAA886f001;Höhe (zusammengelegt);numerisch;pc-7.0
AAA889f001;Min. Höhe, aufgestellt;numerisch;pc-7.0
AAA890f001;Max. Höhe, aufgestellt;numerisch;pc-7.0
AAC510f001;Max. Durchmesser;numerisch;pc-7.0
AAA892f001;Halterung für Höhensicherungsgerät;logisch;pc-7.0
AAA893f001;Lastwinde;logisch;pc-7.0
AAA894f001;Seillänge (Lastwinde);numerisch;pc-7.0
AAA895f001;Seildurchmesser (Lastwinde);numerisch;pc-7.0
AAA896f001;Eigengewicht (Lastwinde);numerisch;pc-7.0
AAA897f001;Max. Tragkraft (Lastwinde);numerisch;pc-7.0
AAA898f001;Gewicht (Lastwinde);numerisch;pc-7.0
AAA885f001;Tragkraft;numerisch;pc-7.0
AAA882f001;Ausführung Gehäuse;alphanumerisch;pc-7.0
AAA883f001;Drehwirbel;logisch;pc-7.0
AAA884f001;Rettungshubeinrichtung;logisch;pc-7.0
AAA881f001;Zulässig für;alphanumerisch;pc-7.0
AAA924f001;Gurtbreite;numerisch;pc-7.0
AAA923f001;Gurtmaterial;alphanumerisch;pc-7.0
AAA852f001;Sorgeleine;logisch;pc-7.0
AAA860f001;Verbindungsmittel;logisch;pc-7.0
AAA861f001;Mit Auffanggerät;logisch;pc-7.0
AAA862f001;Mit Bandschlinge;logisch;pc-7.0
AAA866f001;Bandfalldämpfer;logisch;pc-7.0
AAA867f001;Falldämpferkarabiner;logisch;pc-7.0
AAA868f001;Werkstoff Karabiner, falldämpferseitig;alphanumerisch;pc-7.0
AAA869f001;Verschluss Karabiner, falldämpferseitig;alphanumerisch;pc-7.0
AAA872f001;Seilkürzer;logisch;pc-7.0
AAA873f001;Y-Seil;logisch;pc-7.0
AAB401f001;Betriebsspannung;numerisch;pc-7.0
EAC448f001;Mit Netzteil;logisch;pc-7.0
AAA303f001;Spannung;numerisch;pc-7.0
EAA963f001;Oberflächenstruktur;alphanumerisch;pc-7.0
EAA964f001;Befestigungstechnik;alphanumerisch;pc-7.0
EAA965f001;Befestigungssystem;alphanumerisch;pc-7.0
EAA972f001;Sichtfläche horizontal;numerisch;pc-7.0
EAA971f001;Sichtfläche vertikal;numerisch;pc-7.0
EAA973f002;Sichtfläche gewölbt;logisch;pc-7.0
EAA966f001;Min. Belagstärke;numerisch;pc-7.0
EAA967f001;Max. Belagstärke;numerisch;pc-7.0
EAA968f001;Bodenbelagsart;alphanumerisch;pc-7.0
EAA970f001;Mit Kabelführung;logisch;pc-7.0
EAA969f002;Niveauausgleich;alphanumerisch;pc-7.0
AAA741f001;Materialstärke;numerisch;pc-7.0
EAA975f001;Schenkellänge;numerisch;pc-7.0
EAA976f001;Untergrund;alphanumerisch;pc-7.0
EAA974f001;Kombiprofil;logisch;pc-7.0
EAA977f001;Bodenabdeckbreite;numerisch;pc-7.0
EAB190f001;Körnung;numerisch;pc-7.0
EAB613f001;Aufnahmekapazität pro Tuch;numerisch;pc-7.0
EAB603f001;Gebindegröße;numerisch;pc-7.0
AAD097f001;Verarbeitungszeit;numerisch;pc-7.0
AAD116f001;Min. Verarbeitungstemperatur;numerisch;pc-7.0
AAD117f001;Max. Verarbeitungstemperatur;numerisch;pc-7.0
AAA133f001;Min. Temperaturbereich;numerisch;pc-7.0
AAA349f001;Max. Temperaturbereich;numerisch;pc-7.0
AAD084f001;Endfestigkeit;numerisch;pc-7.0
AAD094f001;Min. Verarbeitungszeit;numerisch;pc-7.0
AAD095f001;Max. Verarbeitungszeit;numerisch;pc-7.0
AAD092f001;Zugscherfestigkeit nach DIN EN 1465;numerisch;pc-7.0
AAA514f001;Doppelseitig;logisch;pc-7.0
AAD136f001;Flammpunkt nach DIN 51755;numerisch;pc-7.0
AAD085f001;Viskosität;numerisch;pc-7.0
EAB223f001;Art (Schmierstoff);alphanumerisch;pc-7.0
EAB224f001;NSF-Registrierung;logisch;pc-7.0
EAC556f001;Nettogewicht;numerisch;pc-7.0
EAC408f001;Farblos;logisch;pc-7.0
AAA471f001;Gebrauchsfertig;logisch;pc-7.0
EAF020f001;Holzfarbe;alphanumerisch;pc-7.0
EAF021f001;Verdünnbar;logisch;pc-7.0
AAA019f001;Einsatzbereich;alphanumerisch;pc-7.0
AAA469f001;Verbrauch pro m²;numerisch;pc-7.0
EAF022f001;Trocknungszeit;numerisch;pc-7.0
EAA770f001;Anschlussspannung;numerisch;pc-7.0
AAC630f001;Leistungsaufnahme;numerisch;pc-7.0
EAB196f001;Luftleistung;numerisch;pc-7.0
EAB608f001;Min. Einsatzfeuchtigkeitsbereich;numerisch;pc-7.0
EAB609f001;Max. Einsatzfeuchtigkeitsbereich;numerisch;pc-7.0
EAB610f001;Entfeuchtungsleistung;numerisch;pc-7.0
EAB466f001;Vierkant;numerisch;pc-7.0
EAA415f001;Gurtbandstärke;numerisch;pc-7.0
EAA416f001;Gurtbandlänge;numerisch;pc-7.0
AAA477f001;Lochabstand;numerisch;pc-7.0
AAB853f001;Min. Temperatur;numerisch;pc-7.0
EAE014f001;Dauereinsatz im Minusbereich;logisch;pc-7.0
EAE015f001;Durchgangsbreite;numerisch;pc-7.0
EAE016f001;Durchgangshöhe;numerisch;pc-7.0
EAB708f001;Min. Härte;numerisch;pc-7.0
EAB709f001;Max. Härte;numerisch;pc-7.0
EAB700f001;Max. Festigkeit;numerisch;pc-7.0
EAB701f001;Kältebeständigkeit;numerisch;pc-7.0
EAB702f001;Lackverträglichkeit;alphanumerisch;pc-7.0
EAB703f001;Spaltmaß;numerisch;pc-7.0
