Merkmal_IDs;Merkmal_ID;Merkmalbezeichnung;Datentyp;Klassifikationssystem_ID
AAA114;AAA114f001;Schleiftellerdurchmesser;numerisch;pc-5.1
AAA115;AAA115f001;Frästiefe;numerisch;pc-5.1
AAA116;AAA116f001;Fräsdurchmesser;numerisch;pc-5.1
AAA119;AAA119f001;Arbeitsbereich;alphanumerisch;pc-5.1
AAA120;AAA120f001;Sägebandbreite;numerisch;pc-5.1
AAA121;AAA121f001;Sägebandlänge;numerisch;pc-5.1
AAA122;AAA122f001;Rollendurchmesser;numerisch;pc-5.1
AAA127;AAA127f001;Aufheizzeit;numerisch;pc-5.1
AAA128;AAA128f001;Max. Klebeleistung;numerisch;pc-5.1
AAA129;AAA129f001;Max. Sticklänge;numerisch;pc-5.1
AAA130;AAA130f001;Max. Stickdurchmesser;numerisch;pc-5.1
AAA132;AAA132f001;Luftstromregulierung;alphanumerisch;pc-5.1
AAA133;AAA133f001;Min. Temperaturbereich;numerisch;pc-5.1
AAA134;AAA134f001;Temperaturregelung;logisch;pc-5.1
AAA136;AAA136f001;Hobelbreite;numerisch;pc-5.1
AAA138;AAA138f001;Länge der Hobelsohle;numerisch;pc-5.1
AAA139;AAA139f001;Fräskorbhub;numerisch;pc-5.1
AAA140;AAA140f001;Behältervolumen;numerisch;pc-5.1
AAA141;AAA141f001;Magnetkraft;numerisch;pc-5.1
AAA142;AAA142f001;Nutzbare Schnittlänge;numerisch;pc-5.1
AAA145;AAA145f001;Stemmtiefe;numerisch;pc-5.1
AAA146;AAA146f001;Max. axiale Frästiefe;numerisch;pc-5.1
AAA147;AAA147f001;Falztiefe;numerisch;pc-5.1
AAA148;AAA148f001;Max. radiale Frästiefe;numerisch;pc-5.1
AAA149;AAA149f001;Schneidenflugkreis;numerisch;pc-5.1
AAA151;AAA151f001;Schraubendurchmesser;numerisch;pc-5.1
AAA152;AAA152f001;Schraubenlänge;numerisch;pc-5.1
AAA158;AAA158f001;Spannzangendurchmesser;numerisch;pc-5.1
AAA159;AAA159f001;Gewindeeinsatz;numerisch;pc-5.1
AAA160;AAA160f002;Leerlaufdrehzahl 1.Gang;numerisch;pc-5.1
AAA166;AAA166f001;Schnitttiefe in Holz;numerisch;pc-5.1
AAA171;AAA171f001;Fräsweg längs;numerisch;pc-5.1
AAA172;AAA172f001;Fräsweg quer;numerisch;pc-5.1
AAA175;AAA175f001;Kopfausführung;alphanumerisch;pc-5.1
AAA177;AAA177f001;Antrieb;alphanumerisch;pc-5.1
AAA178;AAA178f001;Kopfdurchmesser;numerisch;pc-5.1
AAA179;AAA179f001;Gewindeform;alphanumerisch;pc-5.1
AAA180;AAA180f001;Fräsrippen;logisch;pc-5.1
AAA181;AAA181f001;Bohrspitze;logisch;pc-5.1
AAA182;AAA182f001;Längeneinprägung;logisch;pc-5.1
AAA183;AAA183f001;Gehärtet und gleitbeschichtet;logisch;pc-5.1
AAA184;AAA184f001;Mutter;logisch;pc-5.1
AAA185;AAA185f001;Vollschaft;logisch;pc-5.1
AAA186;AAA186f001;Unterlegscheibe;logisch;pc-5.1
AAA187;AAA187f001;Linksgewinde;logisch;pc-5.1
AAA188;AAA188f001;Außensechskant;logisch;pc-5.1
AAA189;AAA189f001;Rundmutter mit Trapezgewinde;logisch;pc-5.1
AAA190;AAA190f001;Mutternhöhe;numerisch;pc-5.1
AAA191;AAA191f001;Außenform Mutter;alphanumerisch;pc-5.1
AAA192;AAA192f001;DIN;logisch;pc-5.1
AAA193;AAA193f001;Anzahl Lappen;numerisch;pc-5.1
AAA194;AAA194f001;Nase;alphanumerisch;pc-5.1
AAA195;AAA195f001;Fase;logisch;pc-5.1
AAA196;AAA196f001;Typ;alphanumerisch;pc-5.1
AAA197;AAA197f001;Inhalt;numerisch;pc-5.1
AAA198;AAA198f001;Schlüsselweite;numerisch;pc-5.1
AAA199;AAA199f001;Bund;logisch;pc-5.1
AAA200;AAA200f001;Durchgehendes Gewinde;logisch;pc-5.1
AAA201;AAA201f001;Innenösendurchmesser;numerisch;pc-5.1
AAA202;AAA202f001;Max. Außendurchmesser;numerisch;pc-5.1
AAA203;AAA203f001;Bundhöhe;numerisch;pc-5.1
AAA204;AAA204f001;Gewindedurchmesser;numerisch;pc-5.1
AAA206;AAA206f001;Bohrlochdurchmesser;numerisch;pc-5.1
AAA207;AAA207f001;Bundform;alphanumerisch;pc-5.1
AAA208;AAA208f001;Blechstärke;numerisch;pc-5.1
AAA209;AAA209f001;Besatzlänge;numerisch;pc-5.1
AAA210;AAA210f001;Besatzmaterial;alphanumerisch;pc-5.1
AAA211;AAA211f001;Arbeitsbreite;numerisch;pc-5.1
AAA212;AAA212f001;Max. zulässige Drehzahl;numerisch;pc-5.1
AAA213;AAA213f001;Drahtstärke;numerisch;pc-5.1
AAA214;AAA214f001;Bohrerdurchmesser;numerisch;pc-5.1
AAA215;AAA215f001;Dübellänge;numerisch;pc-5.1
AAA216;AAA216f001;Min. Bohrlochtiefe;numerisch;pc-5.1
AAA217;AAA217f001;Max. Schraubendurchmesser;numerisch;pc-5.1
AAA218;AAA218f001;Schraubenart;alphanumerisch;pc-5.1
AAA219;AAA219f001;Verankerungsgrund;alphanumerisch;pc-5.1
AAA220;AAA220f001;Kragen;logisch;pc-5.1
AAA221;AAA221f001;Vormontierte Senkkopfschraube;logisch;pc-5.1
AAA222;AAA222f001;Min. Verankerungstiefe;numerisch;pc-5.1
AAA223;AAA223f001;Vormontierte Sicherheitsschraube;logisch;pc-5.1
AAA224;AAA224f001;Schaftlänge;numerisch;pc-5.1
AAA225;AAA225f001;Integrierte Einschlagsperre;logisch;pc-5.1
AAA226;AAA226f001;Holzdicke;numerisch;pc-5.1
AAA227;AAA227f001;Vormontierte Sechskantschraube;logisch;pc-5.1
AAA228;AAA228f001;Maschinenschraube;logisch;pc-5.1
AAA229;AAA229f001;Zulässiges Biegemoment;numerisch;pc-5.1
AAA230;AAA230f001;Max. Bauteildicke;numerisch;pc-5.1
AAA231;AAA231f001;Wandplattendicke;numerisch;pc-5.1
AAA232;AAA232f001;Einführdorn;logisch;pc-5.1
AAA233;AAA233f001;Brandschutzanforderungen;logisch;pc-5.1
AAA234;AAA234f001;Korrosionsschutzanforderungen;logisch;pc-5.1
AAA235;AAA235f001;Tellerdurchmesser;numerisch;pc-5.1
AAA236;AAA236f001;Max. Nutzlänge;numerisch;pc-5.1
AAA237;AAA237f001;Spreiznagelmaterial;alphanumerisch;pc-5.1
AAA238;AAA238f001;Min. Nutzlänge;numerisch;pc-5.1
AAA239;AAA239f001;Materialanwendung;alphanumerisch;pc-5.1
AAA241;AAA241f001;Bohrung;alphanumerisch;pc-5.1
AAA242;AAA242f001;Reihenzahl;numerisch;pc-5.1
AAA243;AAA243f001;Arbeitslänge;numerisch;pc-5.1
AAA244;AAA244f001;Besatzhöhe;numerisch;pc-5.1
AAA245;AAA245f001;Anschluss;alphanumerisch;pc-5.1
AAA246;AAA246f001;Spiralart;alphanumerisch;pc-5.1
AAA247;AAA247f001;Einschlagsperre;logisch;pc-5.1
AAA248;AAA248f001;Nagelschraubenmaterial;alphanumerisch;pc-5.1
AAA249;AAA249f001;Arretierung am Dübelhals;logisch;pc-5.1
AAA250;AAA250f001;Max. Klemmbereich des Gewindes;numerisch;pc-5.1
AAA251;AAA251f001;Min. Hohlraumtiefe;numerisch;pc-5.1
AAA252;AAA252f001;Max. Plattendicke;numerisch;pc-5.1
AAA254;AAA254f001;Anzugsmoment;numerisch;pc-5.1
AAA255;AAA255f001;Konusmaterial;alphanumerisch;pc-5.1
AAA256;AAA256f001;Aufbaudicke;numerisch;pc-5.1
AAA257;AAA257f001;Mit Gewindestange;logisch;pc-5.1
AAA258;AAA258f001;Haken;logisch;pc-5.1
AAA260;AAA260f001;Effektive Verankerungstiefe;numerisch;pc-5.1
AAA261;AAA261f001;Min. Einschraubtiefe;numerisch;pc-5.1
AAA262;AAA262f001;Max. Einschraubtiefe;numerisch;pc-5.1
AAA265;AAA265f001;Min. Bohrlochtiefe bei Durchsteckmontage;numerisch;pc-5.1
AAA266;AAA266f001;Große Scheibe;logisch;pc-5.1
AAA267;AAA267f001;Min. Bohrtiefe bei Durchsteckmontage;numerisch;pc-5.1
AAA268;AAA268f001;Kopfprägung;alphanumerisch;pc-5.1
AAA269;AAA269f001;Mörtelpatrone;alphanumerisch;pc-5.1
AAA271;AAA271f001;Bohrtiefe;numerisch;pc-5.1
AAA272;AAA272f001;Bauteildicke;numerisch;pc-5.1
AAA273;AAA273f001;Durchgangsloch anzuschließendes Bauteil;numerisch;pc-5.1
AAA274;AAA274f001;Einschraubtiefe;numerisch;pc-5.1
AAA275;AAA275f001;Füllmenge in Skalenteilen;numerisch;pc-5.1
AAA276;AAA276f001;Netz;logisch;pc-5.1
AAA277;AAA277f001;Setztiefe;numerisch;pc-5.1
AAA278;AAA278f001;Bohrtiefe durch anzuschließendes Bauteil;numerisch;pc-5.1
AAA279;AAA279f001;Max. Befestigungsdicke;numerisch;pc-5.1
AAA281;AAA281f001;Hakenlänge bis Beffe;numerisch;pc-5.1
AAA282;AAA282f001;Gewindelänge;numerisch;pc-5.1
AAA283;AAA283f001;Ansatzhöhe;numerisch;pc-5.1
AAA284;AAA284f001;Kopfhöhe;numerisch;pc-5.1
AAA285;AAA285f001;Sechskantmutter;numerisch;pc-5.1
AAA286;AAA286f001;Kernansatz;logisch;pc-5.1
AAA287;AAA287f001;Ansatzkappe;logisch;pc-5.1
AAA288;AAA288f001;Kegelkuppe;logisch;pc-5.1
AAA289;AAA289f001;Durchdringung;numerisch;pc-5.1
AAA290;AAA290f001;Kopflänge;numerisch;pc-5.1
AAA291;AAA291f001;Scheibendurchmesser innen;numerisch;pc-5.1
AAA292;AAA292f001;Scheibendurchmesser außen;numerisch;pc-5.1
AAA293;AAA293f001;Abdeckkappen;logisch;pc-5.1
AAA294;AAA294f001;Nenndurchmesser;numerisch;pc-5.1
AAA295;AAA295f001;Schraubenende;alphanumerisch;pc-5.1
AAA297;AAA297f001;Max. Justierweg;numerisch;pc-5.1
AAA298;AAA298f001;Selbstbohrend;logisch;pc-5.1
AAA299;AAA299f001;Max. Abstand;numerisch;pc-5.1
AAA300;AAA300f001;Längsdurchgang;numerisch;pc-5.1
AAA301;AAA301f001;Max. Schnitthöhe;numerisch;pc-5.1
AAA302;AAA302f001;Motorleistung P1;numerisch;pc-5.1
AAA303;AAA303f001;Spannung;numerisch;pc-5.1
AAA304;AAA304f001;Schnittbreite;numerisch;pc-5.1
AAA305;AAA305f001;Schnittgeschwindigkeit;numerisch;pc-5.1
AAA306;AAA306f001;Schnitthöhe;numerisch;pc-5.1
AAA307;AAA307f001;Werkzeugdrehzahl;numerisch;pc-5.1
AAA308;AAA308f001;Verstellbar;logisch;pc-5.1
AAA309;AAA309f001;Neigbar;logisch;pc-5.1
AAA310;AAA310f001;Max. Schnittbreite;numerisch;pc-5.1
AAA311;AAA311f001;Aggregatverstellung;alphanumerisch;pc-5.1
AAA312;AAA312f001;Vorritzsäge;logisch;pc-5.1
AAA313;AAA313f001;CNC-Steuerung;logisch;pc-5.1
AAA314;AAA314f001;Steuerung;alphanumerisch;pc-5.1
AAA315;AAA315f001;Max. Schnittbreite bei 90°;numerisch;pc-5.1
AAA316;AAA316f001;Max. Schnitthöhe bei 90°;numerisch;pc-5.1
AAA317;AAA317f001;Schwenkbar;logisch;pc-5.1
AAA319;AAA319f001;Bandspannumfang bis;numerisch;pc-5.1
AAA320;AAA320f001;Schwenkbar bis;numerisch;pc-5.1
AAA321;AAA321f001;Backenbreite;numerisch;pc-5.1
AAA322;AAA322f001;Backenhöhe;numerisch;pc-5.1
AAA323;AAA323f001;Max. Türfutterverstellung;numerisch;pc-5.1
AAA324;AAA324f001;Min. Türfutterverstellung;numerisch;pc-5.1
AAA327;AAA327f001;Min. Arbeitshöhe;numerisch;pc-5.1
AAA328;AAA328f001;Max. Arbeitshöhe;numerisch;pc-5.1
AAA329;AAA329f001;Hobelhöhe;numerisch;pc-5.1
AAA330;AAA330f001;Abrichttischlänge;numerisch;pc-5.1
AAA331;AAA331f001;Dickentischlänge;numerisch;pc-5.1
AAA332;AAA332f001;Tischlänge;numerisch;pc-5.1
AAA333;AAA333f001;Absaugstutzendurchmesser;numerisch;pc-5.1
AAA338;AAA338f001;Feineinstellung;numerisch;pc-5.1
AAA339;AAA339f001;Anwendungsbereich;alphanumerisch;pc-5.1
AAA340;AAA340f001;Schwingkreisdurchmesser;numerisch;pc-5.1
AAA341;AAA341f001;Schwertlänge;numerisch;pc-5.1
AAA342;AAA342f001;Anzahl Bürsten;numerisch;pc-5.1
AAA343;AAA343f001;Gebinde;alphanumerisch;pc-5.1
AAA344;AAA344f001;UV-beständig;logisch;pc-5.1
AAA345;AAA345f001;Innendurchmesser;numerisch;pc-5.1
AAA346;AAA346f001;Biegeradius;numerisch;pc-5.1
AAA347;AAA347f001;Unterdruck;numerisch;pc-5.1
AAA348;AAA348f001;Temperaturbereich von minus;numerisch;pc-5.1
AAA349;AAA349f001;Max. Temperaturbereich;numerisch;pc-5.1
AAA350;AAA350f001;Rollenlänge;numerisch;pc-5.1
AAA351;AAA351f001;Gewicht pro Meter;numerisch;pc-5.1
AAA353;AAA353f001;Außendurchmesser;numerisch;pc-5.1
AAA354;AAA354f001;Wandstärke;numerisch;pc-5.1
AAA355;AAA355f001;Betriebsdruck;numerisch;pc-5.1
AAA357;AAA357f001;Reißkraft (N/25mm);numerisch;pc-5.1
AAA358;AAA358f001;Farbe;alphanumerisch;pc-5.1
AAA363;AAA363f001;Abseilrettungsgerät;logisch;pc-5.1
AAA364;AAA364f001;Falldämpfer;logisch;pc-5.1
AAA365;AAA365f001;Führung beweglich;logisch;pc-5.1
AAA366;AAA366f001;Höhensicherungsgerät;logisch;pc-5.1
AAA367;AAA367f001;Seildurchmesser;numerisch;pc-5.1
AAA368;AAA368f001;Seillänge;numerisch;pc-5.1
AAA369;AAA369f001;Sicherheitsweste;logisch;pc-5.1
AAA371;AAA371f001;Rückenstütze;logisch;pc-5.1
AAA372;AAA372f001;Geeignet für;alphanumerisch;pc-5.1
AAA373;AAA373f001;Anzahl Tragegriffe;numerisch;pc-5.1
AAA374;AAA374f001;Kanten entschärft;logisch;pc-5.1
AAA375;AAA375f001;Absaugung;logisch;pc-5.1
AAA376;AAA376f001;Bandgeschwindigkeit;numerisch;pc-5.1
AAA377;AAA377f001;Strickbund;logisch;pc-5.1
AAA378;AAA378f001;Anzahl Achsen;numerisch;pc-5.1
AAA379;AAA379f001;Anzahl Türen;numerisch;pc-5.1
AAA388;AAA388f001;Waschbar bis;numerisch;pc-5.1
AAA392;AAA392f001;Frequenzbereich;alphanumerisch;pc-5.1
AAA393;AAA393f001;Schalldämmung in dB;numerisch;pc-5.1
AAA394;AAA394f001;Schalldämmung in Hz;numerisch;pc-5.1
AAA395;AAA395f001;SNR-Wert;numerisch;pc-5.1
AAA397;AAA397f001;Mit Gelenk;logisch;pc-5.1
AAA398;AAA398f001;Mit Teleskopauszügen;logisch;pc-5.1
AAA404;AAA404f001;Arbeitshöhe;numerisch;pc-5.1
AAA405;AAA405f001;Beschichtung;alphanumerisch;pc-5.1
AAA406;AAA406f001;Kategorie;alphanumerisch;pc-5.1
AAA407;AAA407f001;Stärke;numerisch;pc-5.1
AAA408;AAA408f001;Schleifscheibendurchmesser;numerisch;pc-5.1
AAA409;AAA409f001;Bauart;alphanumerisch;pc-5.1
AAA410;AAA410f001;Anzeige;alphanumerisch;pc-5.1
AAA411;AAA411f001;Min. Drehmomentbereich;numerisch;pc-5.1
AAA412;AAA412f001;Max. Drehmomentbereich;numerisch;pc-5.1
AAA413;AAA413f001;Genauigkeit nach ISO 6789 +/-;numerisch;pc-5.1
AAA414;AAA414f001;Prüfzertifikat gemäß ISO 6789;logisch;pc-5.1
AAA415;AAA415f001;Drehmomentwerkzeugaufnahme;alphanumerisch;pc-5.1
AAA416;AAA416f001;Werkzeugaufnahmeform;alphanumerisch;pc-5.1
AAA417;AAA417f001;Hauptskaleneinheit in;alphanumerisch;pc-5.1
AAA418;AAA418f001;Hauptskalenteilung;numerisch;pc-5.1
AAA419;AAA419f001;Nebenskaleneinheit in;alphanumerisch;pc-5.1
AAA420;AAA420f001;Nebenskalenteilung;numerisch;pc-5.1
AAA421;AAA421f001;Anzahl Kanäle;numerisch;pc-5.1
AAA422;AAA422f001;Klebkraft (N/25mm);numerisch;pc-5.1
AAA423;AAA423f001;Shorehärte;numerisch;pc-5.1
AAA426;AAA426f001;Klebespalte bis;numerisch;pc-5.1
AAA428;AAA428f001;Bohrleistung in Stahl St. 60;numerisch;pc-5.1
AAA429;AAA429f001;Pinolenaufnahme;numerisch;pc-5.1
AAA430;AAA430f001;Füllgröße;numerisch;pc-5.1
AAA431;AAA431f001;Fetthaltig;logisch;pc-5.1
AAA432;AAA432f001;Hautschutz bei;alphanumerisch;pc-5.1
AAA442;AAA442f001;Nierenschutz;logisch;pc-5.1
AAA444;AAA444f001;Lampenhalter;logisch;pc-5.1
AAA445;AAA445f001;Kabelhalter;logisch;pc-5.1
AAA446;AAA446f001;Ölbeständig;logisch;pc-5.1
AAA447;AAA447f001;Knopfleiste;logisch;pc-5.1
AAA448;AAA448f001;Min. Klemmbereich;numerisch;pc-5.1
AAA449;AAA449f001;Max. Klemmbereich;numerisch;pc-5.1
AAA450;AAA450f001;Max. Werkstückbreite;numerisch;pc-5.1
AAA451;AAA451f001;Min. Werkstückbreite;numerisch;pc-5.1
AAA452;AAA452f001;Max. Werkstückhöhe;numerisch;pc-5.1
AAA453;AAA453f001;Min. Werkstückhöhe;numerisch;pc-5.1
AAA454;AAA454f001;Anzahl Einlegestücke;numerisch;pc-5.1
AAA458;AAA458f001;Konsistenz;alphanumerisch;pc-5.1
AAA459;AAA459f001;Überlackierbar;logisch;pc-5.1
AAA460;AAA460f001;Ständerausladung;numerisch;pc-5.1
AAA461;AAA461f001;Tischauflage;numerisch;pc-5.1
AAA462;AAA462f001;Ausladung;numerisch;pc-5.1
AAA463;AAA463f001;Spannzangen bis;numerisch;pc-5.1
AAA464;AAA464f001;Dichte;numerisch;pc-5.1
AAA465;AAA465f001;Nackenband verstellbar;logisch;pc-5.1
AAA466;AAA466f001;Dehnung;numerisch;pc-5.1
AAA468;AAA468f001;Wasserbasiert;logisch;pc-5.1
AAA469;AAA469f001;Verbrauch pro m²;numerisch;pc-5.1
AAA471;AAA471f001;Gebrauchsfertig;logisch;pc-5.1
AAA472;AAA472f001;Tiefe;numerisch;pc-5.1
AAA473;AAA473f001;Länge innen;numerisch;pc-5.1
AAA474;AAA474f001;Breite innen;numerisch;pc-5.1
AAA475;AAA475f001;Höhe innen;numerisch;pc-5.1
AAA477;AAA477f001;Lochabstand;numerisch;pc-5.1
AAA478;AAA478f001;Anzahl Löcher;numerisch;pc-5.1
AAA480;AAA480f001;Einweg;logisch;pc-5.1
AAA481;AAA481f001;Mit Boden;logisch;pc-5.1
AAA482;AAA482f001;Biegelänge;numerisch;pc-5.1
AAA483;AAA483f001;Nutzlänge;numerisch;pc-5.1
AAA484;AAA484f001;Max. Werkzeugdurchmesser;numerisch;pc-5.1
AAA490;AAA490f001;Aufnahmekapazität;numerisch;pc-5.1
AAA491;AAA491f001;Konstruktion;alphanumerisch;pc-5.1
AAA492;AAA492f001;Mit Schlauchanschluss;logisch;pc-5.1
AAA493;AAA493f001;Trommelaußendurchmesser;numerisch;pc-5.1
AAA494;AAA494f001;Trommelinnendurchmesser;numerisch;pc-5.1
AAA495;AAA495f001;Schutzstufe nach DIN/EN;numerisch;pc-5.1
AAA496;AAA496f001;Sichtscheibenklasse;numerisch;pc-5.1
AAA497;AAA497f001;Verwendungsbereich nach EN 166;alphanumerisch;pc-5.1
AAA498;AAA498f001;Befestigung;alphanumerisch;pc-5.1
AAA499;AAA499f001;Nackenteil;logisch;pc-5.1
AAA503;AAA503f001;Fesselschnalle;logisch;pc-5.1
AAA504;AAA504f001;DIN-Stempel;logisch;pc-5.1
AAA505;AAA505f001;Schutzstufe;alphanumerisch;pc-5.1
AAA506;AAA506f001;Verspiegelt;logisch;pc-5.1
AAA509;AAA509f001;Kopfband verstellbar;logisch;pc-5.1
AAA510;AAA510f001;Mit Glas;logisch;pc-5.1
AAA511;AAA511f001;Schildform;alphanumerisch;pc-5.1
AAA512;AAA512f001;Tischbreite;numerisch;pc-5.1
AAA513;AAA513f001;Tischöffnungsdurchmesser;numerisch;pc-5.1
AAA514;AAA514f001;Doppelseitig;logisch;pc-5.1
AAA515;AAA515f001;Hochspannung;logisch;pc-5.1
AAA516;AAA516f001;Selbstverlöschend;logisch;pc-5.1
AAA518;AAA518f001;Spitzenhöhe;numerisch;pc-5.1
AAA519;AAA519f001;Spitzenweite;numerisch;pc-5.1
AAA520;AAA520f001;Umlaufdurchmesser;numerisch;pc-5.1
AAA522;AAA522f001;Anzahl Rollen;numerisch;pc-5.1
AAA523;AAA523f001;Federweg der Rollen;numerisch;pc-5.1
AAA524;AAA524f001;Links-Rechts-Lauf;numerisch;pc-5.1
AAA525;AAA525f001;Rollenbreite;numerisch;pc-5.1
AAA526;AAA526f001;Waldarbeiterset;alphanumerisch;pc-5.1
AAA528;AAA528f001;Universalfräskopf;logisch;pc-5.1
AAA529;AAA529f001;Schlitzspindeldurchmesser;numerisch;pc-5.1
AAA530;AAA530f001;Spannung Ablängsäge;numerisch;pc-5.1
AAA531;AAA531f001;Spannung Schlitzspindel;numerisch;pc-5.1
AAA532;AAA532f001;Akkubeschaffenheit;alphanumerisch;pc-5.1
AAA534;AAA534f001;Volumenstrom;numerisch;pc-5.1
AAA536;AAA536f001;Volumenstromkontrolle;logisch;pc-5.1
AAA537;AAA537f001;Saugkraftregulierung;logisch;pc-5.1
AAA538;AAA538f001;Nasssaugen;logisch;pc-5.1
AAA539;AAA539f001;Arbeitsgewicht;numerisch;pc-5.1
AAA540;AAA540f001;Max. Leistungsaufnahme;numerisch;pc-5.1
AAA541;AAA541f001;Form;alphanumerisch;pc-5.1
AAA542;AAA542f001;Stiftlänge Öse;numerisch;pc-5.1
AAA543;AAA543f001;Innere Augenweite;numerisch;pc-5.1
AAA544;AAA544f001;Nenngröße;numerisch;pc-5.1
AAA545;AAA545f001;Nennweite d1;numerisch;pc-5.1
AAA546;AAA546f001;Ringschneide;logisch;pc-5.1
AAA547;AAA547f001;Neigung;numerisch;pc-5.1
AAA548;AAA548f001;innere Weite;numerisch;pc-5.1
AAA549;AAA549f001;innere Weite Ring;numerisch;pc-5.1
AAA550;AAA550f001;Drahtstärke Ring;numerisch;pc-5.1
AAA551;AAA551f001;Drahtstärke Öse;numerisch;pc-5.1
AAA552;AAA552f001;Gewindelänge Öse;numerisch;pc-5.1
